BibTeX_Key,Reference_Number,Group,Group_Label,Cluster,Cluster_Label
r1,1,G4,Representation and semantics,S3,TTP-oriented and attack-chain-oriented representations
r2,2,G2,Technical artifacts,T2,Operational sharing and dissemination
r3,3,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r4,4,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r5,5,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r6,6,G4,Representation and semantics,S4,Sectoral or contextualized taxonomies and ontologies
r7,7,G3,Interoperability,I1,Standardized CTI models and formats
r8,8,G2,Technical artifacts,T3,Ingestion and normalization
r9,9,G3,Interoperability,I4,Ecosystem-oriented interoperability
r10,10,G2,Technical artifacts,T6,Operational consumption and integration
r11,11,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r12,12,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r13,13,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r14,14,G2,Technical artifacts,T4,"Curation, quality, and operational-data governance"
r15,15,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r16,16,G2,Technical artifacts,T7,Technical protection controls in sharing
r17,17,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r18,18,G2,Technical artifacts,T4,"Curation, quality, and operational-data governance"
r19,19,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r20,20,G4,Representation and semantics,S4,Sectoral or contextualized taxonomies and ontologies
r21,21,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r22,22,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r23,23,G2,Technical artifacts,T4,"Curation, quality, and operational-data governance"
r24,24,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r25,25,G2,Technical artifacts,T4,"Curation, quality, and operational-data governance"
r26,26,G1,Conceptual artifacts,C3,Operationalization of the CTI cycle and SOC/IR integration
r27,27,G4,Representation and semantics,S2,Semantic entity and relation models
r28,28,G1,Conceptual artifacts,C3,Operationalization of the CTI cycle and SOC/IR integration
r29,29,G2,Technical artifacts,T2,Operational sharing and dissemination
r30,30,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r31,31,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r32,32,G2,Technical artifacts,T4,"Curation, quality, and operational-data governance"
r33,33,G4,Representation and semantics,S3,TTP-oriented and attack-chain-oriented representations
r34,34,G2,Technical artifacts,T6,Operational consumption and integration
r35,35,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r36,36,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r37,37,G1,Conceptual artifacts,C1,Governance and ecosystem coordination
r38,38,G4,Representation and semantics,S2,Semantic entity and relation models
r39,39,G2,Technical artifacts,T2,Operational sharing and dissemination
r40,40,G3,Interoperability,I2,Protocols and transport mechanisms
r41,41,G1,Conceptual artifacts,C3,Operationalization of the CTI cycle and SOC/IR integration
r42,42,G3,Interoperability,I1,Standardized CTI models and formats
r43,43,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r44,44,G1,Conceptual artifacts,C3,Operationalization of the CTI cycle and SOC/IR integration
r45,45,G4,Representation and semantics,S3,TTP-oriented and attack-chain-oriented representations
r46,46,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r47,47,G2,Technical artifacts,T3,Ingestion and normalization
r48,48,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r49,49,G4,Representation and semantics,S3,TTP-oriented and attack-chain-oriented representations
r50,50,G1,Conceptual artifacts,C3,Operationalization of the CTI cycle and SOC/IR integration
r51,51,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r52,52,G1,Conceptual artifacts,C2,"Trust, auditability, accountability, and privacy"
r53,53,G4,Representation and semantics,S1,Taxonomies for terminological standardization and classification
r54,54,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
r55,55,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r56,56,G2,Technical artifacts,T2,Operational sharing and dissemination
r57,57,G4,Representation and semantics,S3,TTP-oriented and attack-chain-oriented representations
r58,58,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r59,59,G4,Representation and semantics,S3,TTP-oriented and attack-chain-oriented representations
r60,60,G4,Representation and semantics,S1,Taxonomies for terminological standardization and classification
r61,61,G2,Technical artifacts,T2,Operational sharing and dissemination
r62,62,G2,Technical artifacts,T2,Operational sharing and dissemination
r63,63,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r64,64,G4,Representation and semantics,S3,TTP-oriented and attack-chain-oriented representations
r65,65,G2,Technical artifacts,T4,"Curation, quality, and operational-data governance"
r66,66,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r67,67,G4,Representation and semantics,S3,TTP-oriented and attack-chain-oriented representations
r68,68,G2,Technical artifacts,T6,Operational consumption and integration
r69,69,G4,Representation and semantics,S3,TTP-oriented and attack-chain-oriented representations
r70,70,G4,Representation and semantics,S4,Sectoral or contextualized taxonomies and ontologies
r71,71,G2,Technical artifacts,T1,TIPs and end-to-end integrated suites
r72,72,G4,Representation and semantics,S2,Semantic entity and relation models
r73,73,G2,Technical artifacts,T3,Ingestion and normalization
r74,74,G1,Conceptual artifacts,C3,Operationalization of the CTI cycle and SOC/IR integration
r75,75,G4,Representation and semantics,S1,Taxonomies for terminological standardization and classification
r76,76,G4,Representation and semantics,S4,Sectoral or contextualized taxonomies and ontologies
r77,77,G2,Technical artifacts,T5,"Enrichment, correlation, and analysis"
